TrnType,ActualPrefix,DocNumber,IsActive
2100,"<CTRLPX>",1,1
11,"<CTRLPX>",1,1
1300,"<CTRLPX>",1,1
31,"<CTRLPX>",1,1
1600,"<CTRLPX>",1,1
24,"<CTRLPX>",1,1
13,"<CTRLPX>",1,1
23,"<CTRLPX>",1,1
25,"<CTRLPX>",1,1
9100,"<CTRLPX>",1,1
9200,"<CTRLPX>",1,1
9300,"<CTRLPX>",1,1
9700,"<CTRLPX>",1,1
9800,"<CTRLPX>",1,1
9900,"<CTRLPX>",1,1
31,"R26",1,1
13,"CR26",1,1
23,"CP26",1,1
25,"VR26",1,1
9100,"R26",1,1
9200,"R26",1,1
9300,"R26",1,1
9700,"R26",1,1
9800,"R26",1,1
9900,"R26",1,1
10020,"RC11",1,1
10022,"CLR11",1,1
10020,"RC11",1,1
10022,"CLR11",1,1
